year,co2
-37170,207.32358522299998
-37315,208.685091262475
-37353,209.495641888
-37369,209.326456305
-37389,207.868080375675
-37429,204.77737582487998
-37452,191.53156337775
-37504,198.138503631
-37565,200.402973875925
-37671,195.70159247466665
-37759,196.6742707386
-37807,193.581354240625
-37934,193.873098888
-37950,197.55250733926664
-38092,192.59565555449998
-38162,193.08131430805
-38195,193.690311850125
-38358,197.90454896091208
-38535,201.32268604261674
-38603,201.48445246633034
-38804,200.46615960740988
-38957,200.96619797440226
-39217,201.53203042679758
-39353,204.18539759772148
-39655,205.49006636725477
-39809,201.12434903906262
-39950,199.89056576724948
-40365,200.8960917386434
-40678,204.82674347655342
-40899,206.35415471090323
-41018,204.26047843855292
-41221,203.16207190191966
-41400,201.66462398159248
-41565,204.2219503591491
-41711,203.18091908152513
-41859,201.68967291161366
-42145,204.30591912829976
-42254,201.99679013111552
-42400,206.22156348649375
-42540,204.82615482707928
-42705,212.28537276723182
-42866,210.4383494018988
-43046,211.4870756888481
-43192,207.9533487146811
-43330,213.9182293789752
-43510,214.5013713408328
-43746,217.51186974587569
-43927,222.71746789063323
-44107,221.7721744693644
-44231,219.24687294689662
-44358,218.34888238109227
-44685,216.41663219437746
-44796,214.18284619947886
-44937,210.83763232817873
-45136,210.2720270577908
-45364,207.5966069009341
-45574,204.25993514002081
-45760,203.7878948817506
-45993,205.65965094423697
-46273,206.18208295015899
-46477,200.97514386943084
-47037,201.57862918592315
-47352,200.12004323663527
-47512,204.05803785391646
-47778,203.8713291389937
-48056,204.37676012041777
-48270,206.74402693868802
-48577,207.40999031146947
-49079,207.63643592103043
-49481,211.57084710504336
-49829,215.07712976760632
-50136,213.81781717736385
-50434,219.08254103386616
-50623,220.7236106732058
-50850,221.1479059817251
-51158,223.71721395019227
-51450,223.261990272584
-51856,221.13790909272413
-52206,220.3743647767866
-52437,217.95673832028174
-52744,213.88701388029443
-53064,216.8579026931373
-53343,208.19350573591464
-53603,214.7766439566713
-53959,210.2748744860088
-54287,207.67411308560085
-54553,212.4366913146648
-55260,215.69652704379405
-55526,217.37632438255054
-55893,223.71829246142204
-56267,224.35339767076476
-56483,223.14855036746204
-57155,231.29357613421678
-57430,226.35329184425117
-57783,223.45481611599993
-58159,216.66068075629482
-58423,212.87091028761074
-58566,217.25313232793502
-58867,213.77895408048403
-59110,207.954258455404
-59284,210.56770709704924
-59604,210.90340290966515
-59950,206.3768851547348
-60602,202.5567478249938
-60824,202.7086782342372
-61010,200.14813320360096
-61605,197.40343593339372
-61946,197.24236643525396
-62163,199.7280299125443
-62707,203.69546669849038
-62917,201.67027938028278
-63096,199.17080568979725
-63596,208.9757824141881
-63814,198.17360428453378
-63987,200.59108353507256
-64489,204.3859977224767
-65009,207.20522458616006
-65364,201.14189964947187
-65779,203.758804582249
-66196,200.17043811242027
-66669,203.42547248921588
-67131,205.42035908699594
