year,ch4
-108380,504.6666667
-108043,502.4
-107698,508.6666667
-107360,495.1
-107011,507.6666667
-106626,485.6
-106234,474.7
-105868,464.0
-105530,460.0
-105207,444.8
-104898,483.0
-104597,590.5
-104325,595.3333333
-104041,601.4
-103749,617.6666667
-103414,572.0
-103084,595.8
-102773,602.0
-102469,581.3333333
-102154,573.3
-101837,559.0
-101508,515.4
-101206,498.3333333
-100892,469.5
-100592,472.3333333
-100294,508.9
-100072,490.8
-99740,510.9
-99481,542.3333333
-99219,538.0
-98948,547.0
-98669,537.4
-98378,547.0
-98074,529.5
-97805,530.3333333
-97542,525.1
-97272,525.8
-96992,526.2
-96715,523.6666667
-96443,512.0
-96194,511.3333333
-95934,506.0
-95672,504.6666667
-95396,487.4
-95134,491.0
-94876,501.1
-94607,495.0
-94348,478.9
-94070,485.6666667
-93808,464.2
-93537,453.0
-93285,434.9
-93013,442.0
-92751,452.6
-92506,436.3333333
-92247,453.9
-91990,434.0
-91732,442.1
-91481,435.6666667
-90941,439.0
-90662,441.9
-90396,437.3333333
-90113,436.9
-89846,447.3333333
-89601,447.5
-89288,432.3
-89012,436.6
-88743,460.6666667
-88449,447.3
-88164,445.0
-87631,463.3333333
-87372,475.8
-87111,493.6666667
-86828,494.3
-86558,500.8666667
-86250,507.8
-85950,502.3333333
-85664,506.5
-85389,479.6666667
-85054,445.6
-84776,448.0
-84521,428.5
-84258,468.0
-83996,425.2
-83816,429.2
-83491,454.1
-83254,452.3333333
-82999,442.8
-82751,450.3333333
-82511,444.7
-82275,464.0
-82022,465.0
-81788,485.3333333
-81561,514.6
-81326,559.7
-81116,631.3
-80916,629.3333333
-80689,622.3
-80468,616.3333333
-80262,616.7
-80033,605.5
-79791,571.0
-79573,595.3333333
-79334,576.1
-79126,584.0
-78851,547.6
-78619,549.3333333
-78371,549.8
-78153,535.3333333
-77923,563.0
-77675,536.0
-77447,514.9
-77196,515.0
-76960,512.3
-76695,496.975
-76415,487.4
-76200,477.0
-75935,463.3
-75644,450.3333333
-75367,475.1
-75106,472.0
-74846,441.6
-74579,441.6666667
-74291,465.8
-74022,422.2
-73762,437.5
-73474,424.3333333
-73188,414.8
-72934,415.6666667
-72681,460.7
-72441,476.6666667
-72206,467.1
-71966,469.0
-71735,460.7
-71482,451.1
-71175,452.3
-70904,447.6666667
-70579,452.8
