year,co2,ch4,temp
-112841,,,-56.34
-112893,,,-56.99
-112949,,,-57.35
-113005,,,-56.67
-113060,,,-56.95
-113113,,,-55.46
-113165,,,-56.66
-113218,,,-56.42
-113272,,,-56.68
-113325,,,-55.71
-113377,,,-57.1
-113432,,,-56.62
-113486,,,-56.86
-113541,,,-56.73
-113596,,,-56.57
-113649,,,-56.12
-113701,,,-56.78
-113756,,,-57.1
-113812,,,-56.13
-113865,,,-55.92
-113917,,,-57.11
-113972,,,-56.21
-114025,,,-56.13
-114078,,,-57.06
-114134,,,-55.92
-114186,,,-56.23
-114239,,,-57.53
-114297,,,-56.05
-114350,,,-55.31
-114399,,,-55.71
-114449,,,-55.51
-114499,,,-55.74
-114549,,,-55.52
-114600,,,-56.1
-114652,,,-55.98
-114704,,,-55.69
-114754,,,-55.06
-114803,,,-55.82
-114854,,,-56.21
-114905,,,-54.8
-114954,,,-55.29
-115002,,,-54.93
-115051,,,-55.49
-115101,,,-56.06
-115151,,,-54.46
-115199,,,-55.06
-115246,,,-55.0
-115294,,,-55.06
-115342,,,-54.82
-115434,,,-55.2
-115483,,,-55.26
-115532,,,-54.7
-115579,,,-54.89
-115627,,,-54.87
-115674,,,-54.11
-115719,,,-55.0
-115767,,,-55.01
-115814,,,-54.1
-115860,,,-54.91
-115907,,,-54.41
-115954,,,-55.37
-116003,,,-55.15
-116050,,,-53.12
-116093,,,-53.77
-116136,,,-53.36
-116178,,,-54.45
-116225,,,-55.4
-116273,,,-54.28
-116320,,,-54.82
-116368,,,-55.2
-116416,,,-54.07
-116462,,,-54.0
-116506,,,-53.8
-116551,,,-54.99
-116598,,,-54.34
-116645,,,-54.59
-116692,,,-54.85
-116740,,,-54.57
-116787,,,-53.75
-116831,,,-54.69
-116878,,,-54.21
-116924,,,-54.09
-116968,,,-53.17
-117012,,,-54.34
-117055,,,-52.9
-117097,,,-53.94
-117141,,,-53.89
-117186,,,-54.18
-117231,,,-54.31
-117277,,,-53.78
-117322,,,-54.22
-117367,,,-54.2
-117412,,,-53.63
-117457,,,-54.83
-117504,,,-54.38
-117550,,,-53.21
-117593,,,-53.83
-117637,,,-53.13
-117680,,,-54.22
-117724,,,-53.61
-117768,,,-53.25
-117809,,,-52.39
-117850,,,-53.74
-117893,,,-53.84
-117938,,,-53.37
-117981,,,-54.03
-118026,,,-54.39
-118072,,,-53.66
-118116,,,-53.37
-118160,,,-53.91
-118203,,,-52.52
-118244,,,-53.91
-118289,,,-52.6
-118329,,,-52.96
-118370,,,-53.25
-118412,,,-53.03
-118454,,,-53.71
-118497,,,-53.36
-118540,,,-53.12
-118582,,,-53.51
-118626,,,-53.79
-118670,,,-53.54
-118713,,,-53.22
-118756,,,-53.48
-118799,,,-53.38
-118842,,,-52.65
-118883,,,-53.19
-118925,,,-52.91
-118966,,,-53.08
-119008,,,-52.92
-119049,,,-52.63
-119089,,,-52.0
-119128,,,-53.35
-119170,,,-53.42
-119212,,,-52.01
-119252,,,-53.28
-119294,,,-53.11
-119336,,,-53.12
-119378,,,-52.95
-119420,,,-53.13
-119462,,,-52.95
-119502,,,-52.17
-119542,,,-52.63
-119582,,,-51.62
-119620,,,-52.82
-119660,,,-53.52
-119702,,,-52.27
-119742,,,-52.14
-119781,,,-52.83
-119822,,,-52.98
-119864,,,-52.81
-119904,,,-52.36
-119945,,,-53.04
-119986,,,-54.03
-120032,,,-53.26
-120075,,,-53.0
-120117,,,-53.41
-120160,,,-52.79
-120202,,,-53.27
-120244,,,-52.7
-120287,,,-52.44
-120326,,,-52.19
-120366,,,-52.78
-120405,,,-51.79
-120444,,,-52.32
-120485,,,-53.22
-120527,,,-52.84
-120569,,,-52.51
-120609,,,-52.77
-120650,,,-52.72
-120691,,,-52.44
-120731,,,-52.29
-120770,,,-52.44
-120810,,,-52.85
-120851,,,-51.97
-120889,,,-51.79
-120927,,,-52.16
-120967,,,-53.43
-121008,,,-52.06
-121048,,,-52.41
-121088,,,-52.36
-121127,,,-52.85
-121168,,,-52.18
-121209,,,-53.98
-121252,,,-52.05
-121292,,,-52.13
-121331,,,-52.76
-121372,,,-53.21
-121413,,,-51.95
-121454,,,-53.41
-121496,,,-52.3
-121536,,,-53.02
-121577,,,-51.49
-121616,,,-53.02
-121657,,,-53.2
-121698,,,-52.11
-121738,,,-51.77
-121776,,,-52.2
-121814,,,-52.18
-121854,,,-52.98
-121895,,,-51.38
-121932,,,-52.19
-121971,,,-52.46
-122010,,,-52.03
-122050,,,-52.88
-122091,,,-53.67
-122135,,,-51.99
-122174,,,-52.04
-122212,,,-52.17
-122250,,,-50.73
-122285,,,-52.0
-122323,,,-51.54
-122359,,,-50.84
-122395,,,-52.57
-122434,,,-52.02
-122473,,,-52.39
-122512,,,-51.58
-122551,,,-53.11
-122592,,,-52.96
-122634,,,-53.66
-122678,,,-52.65
-122719,,,-52.37
-122760,,,-53.63
-122804,,,-53.9
-122849,,,-52.79
-122891,,,-52.4
-122930,,,-51.77
-122969,,,-52.93
-123009,,,-52.27
-123050,,,-53.39
-123093,,,-53.69
-123138,,,-52.45
-123179,,,-53.58
-123222,,,-53.23
-123264,,,-52.49
-123306,,,-52.76
-123347,,,-53.06
-123389,,,-53.54
-123433,,,-52.6
-123474,,,-52.82
